"month","LTA_rain","LTA_temp","LTA_evap"
1,85.2838709677403,27.3747658688866,9.18126951092612
2,74.6967741935469,26.3343536469093,8.00565310662641
3,51.1580645161278,24.1451092611863,6.78751300728408
4,26.5483870967735,20.0438172043011,4.95924731182796
5,29.3225806451604,15.6697190426639,3.19531737773153
6,33.0451612903216,12.4936559139785,2.30010752688172
7,34.4645161290312,11.5486992715921,2.4213319458897
8,27.3903225806443,12.8432882414152,3.53714880332987
9,30.0322580645151,16.7320967741936,5.13096774193548
10,39.8451612903213,20.632570239334,6.80249739854318
11,73.2387096774177,23.8188709677419,8.28720430107527
12,72.5838709677403,25.8913111342352,8.85556711758585
